$$	Titre	Famille documentaire	Nature documentaire	Nature documentaire libellé	Projet	Opération	Site DPIH	Requis	Unité	Code Centrale	Code Projet	Niveau d'études	Découpage - lot	Système élémentaire 	Complément	Numéro Chrono	Codification	Type MSH	RT	Format demandé	Stockage	Rédaction	Temps estimé (h)	Reste à faire	Fourniture	Date cible	Observations 	Livr. Exploitant	Date Exploitant	Format Exploitant	Stockage Exploitant	Livr. MCO	Date MCO	Format MCO	Stockage MCO	Livr. Intégrateur	Date Intégrateur	Format Intégrateur	Stockage Intégrateur	Livr. DTG	Date DTG	Format DTG	Stockage DTG	Livr. Tableautier	Date Tableautier	Format Tableautier	Stockage Tableautier
$$	Planning de remise des documents	Déploiement	996e41f7-0e87-4456-89c3-7f3282cf0337	DEPLOIEMENT / B- Organisation et gestion de l’opération / B3  Planning	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	X	000	*		111002	IH-RMOIH-MSHD-X-000-*-111 002	PL	T	Excel - A4		Intégrateurs	0		M07		Mise à jour au pas mensuel	True		Excel - A4		False				False				False				False			
$$	Comptes-rendus de réunion d'études 	Déploiement	96dcf991-f7f5-43a2-be31-9d42602b812c	DEPLOIEMENT / C- Conception / C2  Comptes rendus de réunion	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	X	000	*		***	IH-RMOIH-MSHD-X-000-*-***	NT	T	PDF - A4		Intégrateurs	0		M07 à M10 - MàJ mensuelle 			True		PDF - A4		False				False				False				False			
$$	Liste des plans et schémas existants	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	*			000002	IH-RMOIH-MSHD-D-*--000 002	LE	R	Excel - A4	Rédacteur+ GED	IE	0		M04		A élaborer dès l'enclenchement de l'APD	True	M14	Excel - A4	Numérique	False				True	M07	Excel - A4	Numérique	False				False			
$$	Liste des documents d'entrées pour l'APD	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	*			000003	IH-RMOIH-MSHD-D-*--000 003		R	Excel - A4		IE	0		M05			True		Excel - A4		False				False		Excel - A4		False				False			
$$	Schéma architecture réseau du GU avant MSH	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	000	LTT		100001	IH-RMOIH-MSHD-D-000-LTT-100 001	SF	T	Autocad		IE	0		M05			True		Autocad		False				True	M07	Autocad		False				False			
$$	Schéma architecture réseau du GU après MSH	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	000	LTT		100002	IH-RMOIH-MSHD-D-000-LTT-100 002	SF	T	Autocad		IE	0		M05			True	M13 - M14	Autocad	Papier	True	M14	PDF - A4	Numérique	True	M07	Autocad	Papier	False				False			
$$	Schéma architecture réseau RLI avant MSH	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	000	LTT		100003	IH-RMOIH-MSHD-D-000-LTT-100 003	SF	T	Autocad		IE	0		M05			True		Autocad		False				True	M07	Autocad		False				False			
$$	Schéma architecture réseau RLI après MSH	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	000	LTT		100004	IH-RMOIH-MSHD-D-000-LTT-100 004	SF	T	Autocad		IE	0		M05			True	M13 - M14	Autocad	Papier	True	M14	PDF - A4	Numérique	True	M07	Autocad	Papier	False				False			
$$	Schéma unifilaire avant rénovation	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	050	LBT		100001	IH-RMOIH-MSHD-D-050-LBT-100 001	SF	T	Autocad		IE	0		M05			True		Autocad		False				True	M07	Autocad		False				False			
$$	Schéma unifilaire après rénovation	Déploiement	8f392b19-9421-467e-be75-e5ab84e2133d	DEPLOIEMENT / C- Conception / C3  Plans, schémas, listings	MSH	MSH - Roche au moine	Roche-au-Moine [R.MOIH]	True	IH	RMOIH	MSHD	D	050	LBT		100002	IH-RMOIH-MSHD-D-050-LBT-100 002	SF	T	Autocad		IE	0		M05			True		Autocad		True	M14	PDF - A4	Numérique	True	M07	Autocad		False				False			
